ID,address,city,ABBRV,state,lon,lat,name,postalCode(3)
5828,310 Daniel Webster Hwy,Nashua,NH,New Hampshire,-71.440706,42.701994,Chick-fil-A,03060
5834,232 Daniel Webster Hwy,Nashua,NH,New Hampshire,-71.44158,42.71095,Burger King,03060
5844,310 Daniel Webster Hwy,Nashua,NH,New Hampshire,-71.440706,42.701994,Sarku Japan,03060
5824,270 Amherst St,Nashua,NH,New Hampshire,-71.49765,42.77873,Domino's Pizza,03063
5831,19 Charron Ave,Nashua,NH,New Hampshire,-71.50107163,42.77756432,Gianni's Pizza,03063
5829,322 S Broadway,Salem,NH,New Hampshire,-71.2095,42.75514,Taco Bell,03079
5812,722 Second St,Manchester,NH,New Hampshire,-71.47721,42.97079,Wendy's,03102
5823,1500 South Willow St,Manchester,NH,New Hampshire,-71.431785,42.956836,Arby's,03103
5827,1111C S Willow St,Manchester,NH,New Hampshire,-71.43791,42.96055,Papa Gino's,03103
5835,1254 Hooksett Rd,Hooksett,NH,New Hampshire,-71.437383,43.04651,McDonald's,03106
5814,822 Central St,Franklin,NH,New Hampshire,-71.62945,43.44832,McDonald's,03235
5818,1231 Union Ave,Laconia,NH,New Hampshire,-71.45369,43.55903,McDonald's,03246
5819,585 Union Ave,Laconia,NH,New Hampshire,-71.46532,43.54233,Domino's Pizza,03246
5836,209 Daniel Webster Hwy,Meredith,NH,New Hampshire,-71.50032,43.64736,McDonald's,03253
5841,156 Laconia Rd,Tilton,NH,New Hampshire,-71.55775,43.45978,Wendy's,03276
5815,321 Loudon Rd,Concord,NH,New Hampshire,-71.48333,43.22897,Taco Bell,03301
5822,15 Hall Street,Concord,NH,New Hampshire,-71.52768,43.19397,Burger King,03301
5813,111 Fisherville Rd,Concord,NH,New Hampshire,-71.580582,43.259243,McDonald's,03303
5816,317 Winchester St,Keene,NH,New Hampshire,-72.28923,42.9258,McDonald's,03431
5817,58 Key Rd,Keene,NH,New Hampshire,-72.2975,42.926,Five Guys,03431
5832,5 Sonja Dr,Rindge,NH,New Hampshire,-72.03664,42.74295,Taco Bell,03461
5810,1390 Lafayette Rd,Portsmouth,NH,New Hampshire,-70.7728,43.0451,Five Guys,03801
5837,2255 Lafayette Rd,Portsmouth,NH,New Hampshire,-70.778509,43.035776,Burger King,03801
5843,909 Central Ave,Dover,NH,New Hampshire,-70.883713,43.218703,Wendy's,03820
5826,29 Lafayette Rd,North Hampton,NH,New Hampshire,-70.83484,42.96446,Dominos Pizza,03862
5821,Upham & Columbus Avenue,Rochester,NH,New Hampshire,-70.97565,43.30747,KFC,03867
5825,710 Lafayette Rd,Seabrook,NH,New Hampshire,-70.87058,42.89592,McDonald's,03874
5842,306 Lafayette Rd,Seabrook,NH,New Hampshire,-70.86787,42.883534,KFC,03874
5820,2380 New Hampshire 16,West Ossipee,NH,New Hampshire,-71.2015,43.8203,McDonald's,03890
4462,131 Elm St,Biddeford,ME,Maine,-70.45818,43.495377,Blimpie,04005
4440,174 Bath Rd,Brunswick,ME,Maine,-69.91858,43.90711,Burger King,04011
4456,102 Main St,Gorham,ME,Maine,-70.439336,43.680858,Burger King,04038
4466,Divisin Del Norte 2855,Harrison,ME,Maine,-99.1498518,19.3452617,Kfc,04040
4450,2 Post Office Sq,Kennebunk,ME,Maine,-70.53269,43.39262,McDonald's,04043
4425,793 Roosevelt Trl,Windham,ME,Maine,-70.44217,43.83887,Burger King,04062
4446,831 Roosevelt Trl,Windham,ME,Maine,-70.444696,43.841597,Wendy's,04062
4452,520 Main St,Saco,ME,Maine,-70.434736,43.509323,Burger King,04072
4458,189 Main St,Saco,ME,Maine,-70.4467,43.49693,Rapid Ray's,04072
4430,400 Gallery Blvd,Scarborough,ME,Maine,-70.34391,43.62477,KFC / Taco Bell,04074
4460,205 US Route 1,Scarborough,ME,Maine,-70.33044,43.59293,Wendy's,04074
4457,140 Main St,Westbrook,ME,Maine,-70.33592987,43.67815018,KFC,04092
4449,2 Somerset St,Portland,ME,Maine,-70.25858,43.66353,Taqueria,04101
4464,27 Washington Ave,Portland,ME,Maine,-70.251464,43.664435,7-Eleven,04101
4448,980 Broadway,South Portland,ME,Maine,-70.2718,43.6297,Domino's Pizza,04106
4451,759 Turner St,Auburn,ME,Maine,-70.23323,44.12156,Panera Bread,04210
4455,545 Minot Ave,Auburn,ME,Maine,-70.24817,44.08265,Subway,04210
4454,580 Lisbon St,Lisbon Falls,ME,Maine,-70.07393,44.00499,McDonald's,04252
4453,57 Main St,South Paris,ME,Maine,-70.51575,44.22182,KFC,04281
4465,118 Main St,South Paris,ME,Maine,-70.50437,44.2224,McDonald's,04281
4431,219 Western Ave,Augusta,ME,Maine,-69.800117,44.314556,Arby's,04330
4432,209 Western Ave,Augusta,ME,Maine,-69.799477,44.314022,McDonald's,04330
4433,85 Bangor St,Augusta,ME,Maine,-69.76437,44.32261,McDonald's,04330
4434,28 Western Ave,Augusta,ME,Maine,-69.7822,44.31093,Domino's Pizza,04330
4443,166 Western Ave,Augusta,ME,Maine,-69.795618,44.313155,Burger King,04330
4447,225 Western Ave,Augusta,ME,Maine,-69.80071,44.31434,Subway,04330
4428,192 Water St,Gardiner,ME,Maine,-69.77157,44.22938,Domino's Pizza,04345
4436,632 Broadway,Bangor,ME,Maine,-68.769829,44.810938,McDonald's,04401
4437,1105 Union St,Bangor,ME,Maine,-68.81022,44.81766,McDonald's,04401
4438,441 Main St,Bangor,ME,Maine,-68.77697,44.79132,McDonald's,04401
4439,659 Hogan Rd Ste 13,Bangor,ME,Maine,-68.743,44.83871,Quiznos,04401
4441,570 Stillwater Ave,Bangor,ME,Maine,-68.755113,44.828491,Subway,04401
4442,1010 Union St,Bangor,ME,Maine,-68.80779,44.81566,Burger King,04401
4444,631 Hogan Rd,Bangor,ME,Maine,-68.74158,44.83506,Burger King,04401
4445,1049 Union St,Bangor,ME,Maine,-68.808841,44.816346,Wendy's,04401
4467,663 Stillwater Ave,Bangor,ME,Maine,-68.751237,44.832978,McDonald's,04401
4435,525 Wilson St,Brewer,ME,Maine,-68.74329,44.78053,McDonald's,04412
4426,245 High St,Ellsworth,ME,Maine,-68.408,44.5325,Taco Bell,04605
4427,259 High St,Ellsworth,ME,Maine,-68.40688,44.53099,McDonald's,04605
4463,1 Court St,Machias,ME,Maine,-67.45225,44.71863,Subway,04654
4429,127 North St,Houlton,ME,Maine,-67.83927,46.13483,Domino's Pizza,04730
4461,354 Madison Ave,Skowhegan,ME,Maine,-69.725986,44.779489,Burger King,04976
4468,189 Madison Ave,Skowhegan,ME,Maine,-69.7235,44.77443,McDonald's,04976
9458,45 Beswick Dr,White River Junction,VT,Vermont,-72.33557,43.64622,McDonald's,05001
9429,100 Northside Dr,Bennington,VT,Vermont,-73.20316,42.89413,Taco Bell,05201
9437,112 Northside Dr,Bennington,VT,Vermont,-73.20491,42.895614,McDonald's,05201
9438,35 Kocher Dr,Bennington,VT,Vermont,-73.202296,42.894549,Burger King,05201
9439,748 Main St,Bennington,VT,Vermont,-73.1852,42.87916,Domino's Pizza,05201
9431,499 Canal St,Brattleboro,VT,Vermont,-72.56684,42.83924,Domino's Pizza,05301
9459,1059 Putney Rd,Brattleboro,VT,Vermont,-72.557487,42.883007,Wendy's,05301
9465,1027 Putney Rd,Brattleboro,VT,Vermont,-72.55768,42.88208,McDonald's,05301
9468,231 Main St,Brattleboro,VT,Vermont,-72.55979,42.85586,SUBWAY,05301
9471,1007 Putney Rd,Brattleboro,VT,Vermont,-72.55782,42.88168,Taco Bell,05301
9430,161 Church St,Burlington,VT,Vermont,-73.21264,44.47568,Pacific Rim,05401
9433,580 Shelburne Rd Ste 11,Burlington,VT,Vermont,-73.20896,44.44926,SUBWAY,05401
9455,74 Maple St,Burlington,VT,Vermont,-73.21676,44.47368,Handy's Lunch,05401
9453,1125 Shelburne Rd,South Burlington,VT,Vermont,-73.21083,44.43763,McDonald's,05403
9454,155 Dorset St,South Burlington,VT,Vermont,-73.18312,44.46441,McDonald's,05403
9462,1205 Williston Rd,South Burlington,VT,Vermont,-73.17562,44.46749,McDonald's,05403
9450,133 Blakely Rd,Colchester,VT,Vermont,-73.21404,44.54342,Subway,05446
9452,44 S Park Dr,Colchester,VT,Vermont,-73.17974,44.50412,McDonald's,05446
9464,79 Heineberg Dr,Colchester,VT,Vermont,-73.24849,44.53525,McDonald's,05446
9461,106 Pearl St,Essex Junction,VT,Vermont,-73.1221,44.49519,McDonald's,05452
9463,71 Upper Main St,Essex Junction,VT,Vermont,-73.0865,44.50736,McDonald's,05452
9447,191 Route 7 S,Milton,VT,Vermont,-73.11798,44.62584,SUBWAY,05468
9432,363 Swanton Rd,Saint Albans,VT,Vermont,-73.08202,44.8396,Taco Bell,05478
9449,86 N Main St,Saint Albans,VT,Vermont,-73.08328,44.81303,SUBWAY,05478
9457,183 Swanton Rd,Saint Albans,VT,Vermont,-73.080817,44.837665,McDonald's,05478
9434,25 Berlin St,Montpelier,VT,Vermont,-72.57701,44.25664,Domino's Pizza,05602
9435,322 N Main St,Barre,VT,Vermont,-72.50616,44.20083,Domino's Pizza,05641
9445,478 S Barre Rd,Barre,VT,Vermont,-72.50665,44.17394,McDonald's,05641
9446,1331 Us Route 302,Barre,VT,Vermont,-72.55278,44.22718,Burger King,05641
9460,1332 US Route 302,Barre,VT,Vermont,-72.55152,44.22749,McDonald's,05641
9436,105 Morrisville Plz,Morrisville,VT,Vermont,-72.59198,44.574,McDonalds,05661
9440,24 Wales St,Rutland,VT,Vermont,-72.9776,43.6075,Domino's Pizza,05701
9441,2729 Main St,Rutland,VT,Vermont,-72.976316,43.630949,Burger King,05701
9442,153 S Main St,Rutland,VT,Vermont,-72.9708,43.5981,KFC,05701
9443,21 N Main St,Rutland,VT,Vermont,-72.9724,43.6096,Wendy's,05701
9444,195 Woodstock Ave,Rutland,VT,Vermont,-72.95304,43.62267,McDonald's,05701
9456,182 S Main St,Rutland,VT,Vermont,-72.96926,43.59586,McDonald's,05701
9466,45 Farrell Rd,Rutland,VT,Vermont,-72.96861,43.58408,Taco Bell,05701
9448,275 Railroad St Route 5,Saint Johnsbury,VT,Vermont,-72.0165,44.4166,McDonald's,05819
